State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
CA,,AB1476,,Education finance.,Re-referred to Coms. on ED. and BUDGET pursuant to Assembly Rule 77.2.,8/30/2012,Luis Alejo; Robert Blumenfield; Susan Bonilla; Julia Brownley; Joan Buchanan; Betsy Butler; Wesley Chesbro; Roger Dickinson; Mike Feuer; Richard Gordon; Jared Huffman; Holly Mitchell; William Monning; Sandré Swanson,19,4,https://www.billtrack50.com/BillDetail/140756,billtrack50
CA,,SB1028,,Education finance.,Chaptered by Secretary of State. Chapter 575; Statutes of 2012.,9/26/2012,,15,5,https://www.billtrack50.com/BillDetail/172460,billtrack50
CA,,AB1246,,Instructional materials.,Chaptered by Secretary of State - Chapter 668; Statutes of 2012.,9/27/2012,Julia Brownley; Alan Lowenthal,29,10,https://www.billtrack50.com/BillDetail/8607,billtrack50
CA,,SB1052,,Public postsecondary education: California Open,Chaptered by Secretary of State. Chapter 621; Statutes of 2012.,9/27/2012,Elaine Alquist; Robert Blumenfield; Kevin de Leon; Anthony Portantino; Jose Solorio; Darrell Steinberg; Leland Yee; Carol Liu; Fran Pavley,25,6,https://www.billtrack50.com/BillDetail/176519,billtrack50
CA,,SB1053,,Public postsecondary education: California Digital Open,Chaptered by Secretary of State. Chapter 622; Statutes of 2012.,9/27/2012,Elaine Alquist; Robert Blumenfield; Kevin de Leon; Jose Solorio; Darrell Steinberg; Leland Yee; Carol Liu; Fran Pavley,25,6,https://www.billtrack50.com/BillDetail/176517,billtrack50
MA,,H76,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts.,Accompanied a study order; see H4533,12/6/2012,John Fresolo; Tom Sannicandro,11,1,https://www.billtrack50.com/BillDetail/36822,billtrack50
MA,,S1920,,Senate; Thursday; May 26; 2011– Text of the Senate amendments to the House Bill making appropriations for the fiscal year 2012 for the maintenance of the departments; boards; commissions; institutions and certain activities of the Commonwealth; for interest; sinking fund and serial bond requirements and for certain permanent improvements (House; No. 3401).,No further action taken,1/1/2013,,3,1,https://www.billtrack50.com/BillDetail/129133,billtrack50
IL,,HB3501,,INC TX-EDUCATION,Session Sine Die,1/8/2013,David Winters,6,1,https://www.billtrack50.com/BillDetail/30734,billtrack50
VA,,HB1777,,Virginia Open Education Resources Council; established.,Tabled in Science and Technology by voice vote,1/30/2013,David Albo; Eileen Filler-Corn; Kaye Kory; K. Robert Krupicka; Lynwood Lewis; Alfonso Lopez; Joe May; Delores McQuinn; Kenneth Plum; James Scott; Scott Surovell; David Toscano; Roslyn Tyler,3,1,https://www.billtrack50.com/BillDetail/305390,billtrack50
OK,,HB1840,,Technology; requiring transfer of certain assets and positions of the Oklahoma State Regents for Higher Education and OneNet; effective date.,Second Reading referred to Government Modernization,2/5/2013,David Derby,3,1,https://www.billtrack50.com/BillDetail/312826,billtrack50
VA,,HR208,,Celebrating the life of Dawn Lawson.,Bill text as passed House (HR208ER),2/21/2013,David Bulova; Eileen Filler-Corn; Mark Keam,5,2,https://www.billtrack50.com/BillDetail/371743,billtrack50
MN,,SF824,,Open educational resource council establishment and appropriation,Referred to Higher Education and Workforce Development,2/28/2013,Kent Eken; Susan Kent; Jeremy Miller; Tim Miller,2,1,https://www.billtrack50.com/BillDetail/383624,billtrack50
VA,,SJR431,,Celebrating the life of Dawn Michele Lawson.,Bill text as passed Senate and House (SJ431ER),3/5/2013,Dave Marsden,8,2,https://www.billtrack50.com/BillDetail/372678,billtrack50
MN,,HF789,,Open Education Resource Council established; and money appropriated.,Committee report; to pass as amended and re-refer to Higher Education Finance and Policy,3/7/2013,Kathy Brynaert; Zachary Dorholt; David Fitzsimmons; Ben Lien; Kim Norton; Chris Swedzinski; Ryan Winkler,2,2,https://www.billtrack50.com/BillDetail/375348,billtrack50
US,,S626,,A bill to de-link research and development incentives from drug prices for new medicines to treat HIV/AIDS and to stimulate greater sharing of scientific knowledge.,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,3/20/2013,Bernard Sanders,1,1,https://www.billtrack50.com/BillDetail/401488,billtrack50
US,,S627,,A bill to provide incentives for investment in research and development for new medicines; to enhance access to new medicines; and for other purposes.,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,3/20/2013,Bernard Sanders,1,1,https://www.billtrack50.com/BillDetail/401500,billtrack50
UT,,SB0162,,Concurrent Enrollment Amendments,Governor Signed in ELTGOV,3/22/2013,Don Ipson; Stephen Urquhart,43,3,https://www.billtrack50.com/BillDetail/342556,billtrack50
AZ,,HB2230,,Information services; technology,Referred to Senate RULES Committee,3/26/2013,Steve Smith; David Stevens; Bob Thorpe,26,2,https://www.billtrack50.com/BillDetail/307679,billtrack50
OK,,SB977,,Multiple versions of statutes; amending; merging and repealing multiple versions of statutes. Effective date. Emergency.,Approved by Governor 04/08/2013,4/8/2013,Leslie Osborn; Anthony Sykes,19,3,https://www.billtrack50.com/BillDetail/312032,billtrack50
OK,,SB977,,Multiple versions of statutes; amending; merging and repealing multiple versions of statutes. Effective date. Emergency.,Approved by Governor 04/08/2013,4/8/2013,Leslie Osborn; Anthony Sykes,19,3,https://www.billtrack50.com/BillDetail/430295,billtrack50
OK,,HB2062,,Technology; county purchasing procedures; updating language and modifying duties of the Information Services Division of the Office of Management and Enterprise Services and the Chief Information Officer; effective date; emergency.,Approved by Governor 05/29/2013,5/24/2013,David Derby; Michael Jackson; Clark Jolley; Jason Murphey,38,3,https://www.billtrack50.com/BillDetail/312588,billtrack50
OK,,HB2062,,Technology; county purchasing procedures; updating language and modifying duties of the Information Services Division of the Office of Management and Enterprise Services and the Chief Information Officer; effective date; emergency.,Approved by Governor 05/29/2013,5/24/2013,David Derby; Clark Jolley; Jason Murphey,38,3,https://www.billtrack50.com/BillDetail/429664,billtrack50
TX,,HB5,,Relating to public school accountability; including assessment; and curriculum requirements; providing a criminal penalty.,See remarks for effective date,6/10/2013,Alma Allen; Carol Alvarado; Trent Ashby; Jimmie Aycock; Dwayne Bohac; Dennis Bonnen; Greg Bonnen; Bill Callegari; Terry Canales; Travis Clardy; Nicole Collier; Byron Cook; Philip Cortez; Anthony Dale; Drew Darby; John Davis; Joseph Deshotel; Harold Dutton; Pat Fallon; Joe Farias; Marsha Farney; Allen Fletcher; Dan Flynn; James Frank; Larry Gonzales; Robert Guerra; Ryan Guillen; Harvey Hilderbran; Dan Huberty; Jason Isaac; Kyle Kacal; Jim Keffer; Ken King; Phil King; Susan King; Tim Kleinschmidt; Lois Kolkhorst; John Kuempel; Lyle Larson; George Lavender; Jeff Leach; Oscar Longoria; J.M. Lozano; Eddie Lucio; Ruth McClendon; Joseph Moody; Geanie Morrison; Sergio Munoz; Jim Murphy; John Otto; Chris Paddie; Dan Patrick; Diane Patrick; Charles Perry; Four Price; John Raney; Bennett Ratliff; Richard Raymond; Ron Reynolds; Eddie Rodriguez; Justin Rodriguez; Charles Schwertner; Ralph Sheffield; Wayne Smith; Jonathan Stickland; Jason Villalba; Michael Villarreal; Hubert Vo; James White; Molly White; Paul Workman; Gene Wu; John Zerwas,351,5,https://www.billtrack50.com/BillDetail/352569,billtrack50
CA,,SB520,,Student instruction: California Online Student Incentive,Referred to Com. on HIGHER ED.,6/17/2013,Cristina Garcia; Darrell Steinberg,21,5,https://www.billtrack50.com/BillDetail/376840,billtrack50
NH,,HB155,,Relative to the use of open source software by state agencies; including the department of information technology in the uniform electronic transactions act; and repealing the information practices act.,Signed By Governor 06/25/2013; Effective 06/25/2013; Chapter 0118 ,6/27/2013,Peter Leishman; Lynne Ober,19,5,https://www.billtrack50.com/BillDetail/298106,billtrack50
US,,HR1960,,National Defense Authorization Act for Fiscal Year 2014,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 126.,7/8/2013,Buck McKeon; Adam Smith,191,4,https://www.billtrack50.com/BillDetail/417549,billtrack50
US,,HR419,,Taiwan Policy Act of 2013,Ordered to be Reported in the Nature of a Substitute (Amended) by Unanimous Consent.,8/1/2013,Robert Andrews; Gus Bilirakis; John Carter; Steve Chabot; Mike Coffman; Gerry Connolly; Jeff Denham; Mario Diaz-Balart; Eni Faleomavaega; Bill Flores; J. Randy Forbes; Scott Garrett; Michael Grimm; Vicky Hartzler; Alcee Hastings; Walter Jones; William Keating; Mike Kelly; Kenny Marchant; Michael McCaul; Luke Messer; Ileana Ros-Lehtinen; Lucille Roybal-Allard; Ed Royce; John Shimkus; Albio Sires; Steve Stivers; Steve Stockman; Marc Veasey,9,1,https://www.billtrack50.com/BillDetail/327214,billtrack50
NY,,A03158,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,referred to ways and means,1/8/2014,William Boyland; Ellen Jaffee; Dan Quart; David Weprin,2,1,https://www.billtrack50.com/BillDetail/321072,billtrack50
CA,,AB1099,,Public postsecondary education: disabled student services.,Died at Desk.,2/3/2014,Paul Fong,4,1,https://www.billtrack50.com/BillDetail/378915,billtrack50
OK,,HB1840,,Technology; requiring transfer of certain assets and positions of the Oklahoma State Regents for Higher Education and OneNet; effective date.,Authored by Senator Jolley (principal Senate author),2/6/2014,David Derby; Clark Jolley; Jason Murphey,6,1,https://www.billtrack50.com/BillDetail/431071,billtrack50
US,,HR4034,,WMD Prevention and Preparedness Act of 2014,Referred to the Subcommittee on Emergency Preparedness; Response and Communications.,2/27/2014,Peter King; Bill Pascrell,10,1,https://www.billtrack50.com/BillDetail/483397,billtrack50
WA,,HB2185,,Making 2014 supplemental operating appropriations.,Passed to Rules Committee for second reading.,3/3/2014,Bruce Chandler; Ross Hunter,9,2,https://www.billtrack50.com/BillDetail/444895,billtrack50
NY,,S00173,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,PRINT NUMBER 173A,3/28/2014,Ruth Hassell-Thompson; Daniel Squadron,4,2,https://www.billtrack50.com/BillDetail/295444,billtrack50
WA,,SB6002,,Making 2014 supplemental operating appropriations.,Effective date 4/4/2014.,4/4/2014,James Hargrove; Andy Hill,35,5,https://www.billtrack50.com/BillDetail/444782,billtrack50
ME,,LD1849,,Resolve; To Establish the Commission To Study College Affordability and College Completion,Subsequently; FINALLY PASSED - Emergency 2/3 Elected Required ; in concurrence.,4/16/2014,,19,0,https://www.billtrack50.com/BillDetail/506018,billtrack50
NE,,LB919,,Create the Open Data Advisory Board,Indefinitely Postponed,4/17/2014,Heath Mello,4,1,https://www.billtrack50.com/BillDetail/453297,billtrack50
MA,,H149,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts.,Bill reported favorably by committee as changed and referred to the committee on House Ways and Means,5/12/2014,Kay Khan; David Linsky; Timothy Madden; Tom Sannicandro; Thomas Stanley,4,1,https://www.billtrack50.com/BillDetail/368040,billtrack50
US,,HR4186,,FIRST Act of 2014,Ordered to be Reported (Amended) by Voice Vote.,5/28/2014,Larry Bucshon; Chris Collins; Lamar Smith; Steve Stockman,9,1,https://www.billtrack50.com/BillDetail/500839,billtrack50
US,,S2410,,An original bill to authorize appropriations for fiscal year 2015 for military activities of the Department of Defense; for military construction; and for defense activities of the Department of Energy; to prescribe military personnel strengths for such fiscal year; and for other purposes.,Placed on Senate Legislative Calendar under General Orders. Calendar No. 402.,6/2/2014,Carl Levin,2,1,https://www.billtrack50.com/BillDetail/516247,billtrack50
MA,,S1534,,To allow for municipal innovation through procurement reform,Accompanied a study order; see H4143,6/4/2014,Carlo Basile; William Brownsberger; Christopher Fallon; Michael Rush; Karen Spilka,4,1,https://www.billtrack50.com/BillDetail/368297,billtrack50
US,,HR4435,,"Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015",Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 425.,6/5/2014,Buck McKeon; Adam Smith,154,4,https://www.billtrack50.com/BillDetail/509136,billtrack50
US,,HR4455,,Learning Opportunities With Creation of Open Source Textbooks (LOW COST) Act of 2014,Referred to the Subcommittee on Higher Education and Workforce Training.,6/13/2014,Bill Foster; Sheila Jackson Lee; Charles Rangel,5,1,https://www.billtrack50.com/BillDetail/509519,billtrack50
US,,S2757,,A bill to invest in innovation through research and development; to improve the competitiveness of the United States; and for other purposes.,Read twice and referred to the Committee on Commerce; Science; and Transportation.,7/31/2014,Christopher Coons; Richard Durbin; Edward Markey; Bill Nelson; Mark Pryor; John Rockefeller,1,1,https://www.billtrack50.com/BillDetail/520179,billtrack50
US,,HR1232,,Federal Information Technology Acquisition Reform Act,Placed on Senate Legislative Calendar under General Orders. Calendar No. 577.,9/18/2014,Gerry Connolly; Darrell Issa,14,4,https://www.billtrack50.com/BillDetail/400123,billtrack50
CA,,AB609,,State-funded research: State Department of Public Health.,Chaptered by Secretary of State - Chapter 789; Statutes of 2014.,9/29/2014,Beth Gaines; Mike Gatto; Jerry Hill; Brian Maienschein; Brian Nestande; Kristin Olsen; Nancy Skinner,32,11,https://www.billtrack50.com/BillDetail/375106,billtrack50
IL,,HB3247,,OPEN COLLEGE TEXTBOOK ACT,Session Sine Die,12/3/2014,Kenneth Dunkin,6,1,https://www.billtrack50.com/BillDetail/380626,billtrack50
IL,,HR1161,,URGE US HOUSE - LOW COST ACT,Session Sine Die,12/3/2014,Lawrence Walsh,3,1,https://www.billtrack50.com/BillDetail/515417,billtrack50
US,,HR5793,,Cyber Supply Chain Management and Transparency Act of 2014,Referred to the House Committee on Oversight and Government Reform.,12/4/2014,Lynn Jenkins; Ed Royce,2,1,https://www.billtrack50.com/BillDetail/526530,billtrack50
US,,HR3979,,"Carl Levin and Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015",Became Public Law No: 113-291.,12/19/2014,Spencer Bachus; Ron Barber; Lou Barletta; Andy Barr; Dan Benishek; Kerry Bentivolio; Tim Bishop; Suzanne Bonamici; James Bridenstine; Susan Brooks; Shelley Capito; John Carney; Andre Carson; John Carter; Chris Collins; Gerry Connolly; Tom Cotton; Joe Courtney; Kevin Cramer; Rick Crawford; Steven Daines; Rodney Davis; Peter DeFazio; Charlie Dent; Elizabeth Esty; Stephen Fincher; Mike Fitzpatrick; J. Randy Forbes; Rodney Frelinghuysen; Joe Garcia; Cory Gardner; Jim Gerlach; Bob Gibbs; Chris Gibson; Bob Goodlatte; Paul Gosar; Sam Graves; Tim Griffin; Morgan Griffith; Michael Grimm; Richard Hanna; Gregg Harper; Andy Harris; Doc Hastings; Tim Huelskamp; Bill Huizenga; Robert Hurt; Steve Israel; Lynn Jenkins; Sam Johnson; Walter Jones; David Joyce; Mike Kelly; Derek Kilmer; Peter King; Leonard Lance; James Lankford; Tom Latham; Bob Latta; Frank LoBiondo; Cynthia Lummis; Tom Marino; Thomas Massie; Michael McCaul; David McKinley; Mark Meadows; Patrick Meehan; Michael Michaud; Candice Miller; Tim Murphy; Alan Nunnelee; Erik Paulsen; Scott Perry; Robert Pittenger; Joe Pitts; Ted Poe; Nick Rahall; Tom Reed; Dave Reichert; Jim Renacci; Martha Roby; Todd Rokita; Peter Roskam; Keith Rothfus; Jon Runyan; Pete Sessions; John Shimkus; Bill Shuster; Mike Simpson; Steve Stivers; Glenn Thompson; Patrick Tiberi; Michael Turner; Chris Van Hollen; Tim Walberg; Greg Walden; Jackie Walorski; Daniel Webster; Brad Wenstrup; Lynn Westmoreland; Edward Whitfield; Roger Williams; Joe Wilson; Rob Wittman; Steve Womack; Kevin Yoder; Todd Young,129,7,https://www.billtrack50.com/BillDetail/475178,billtrack50
IL,,SB3449,,INC TX-EDUCATION,Session Sine Die,1/13/2015,Michael Noland,7,1,https://www.billtrack50.com/BillDetail/485072,billtrack50
OK,,SB550,,State information services; modifying agencies subject to Information Services Act. Effective date. Emergency.,Second Reading referred to Judiciary Committee then to Appropriations Committee,2/3/2015,Anthony Sykes,3,1,https://www.billtrack50.com/BillDetail/555789,billtrack50
OK,,SB550,,State information services; modifying agencies subject to Information Services Act. Effective date. Emergency.,Second Reading referred to Judiciary Committee then to Appropriations Committee,2/3/2015,Anthony Sykes,3,1,https://www.billtrack50.com/BillDetail/657698,billtrack50
VA,,HB2041,,Open Education Resources Innovation Council; established; report.,Left in Appropriations,2/10/2015,Eileen Filler-Corn,10,2,https://www.billtrack50.com/BillDetail/542894,billtrack50
US,,S456,,A bill to codify mechanisms for enabling cybersecurity threat indicator sharing between private and government entities; as well as among private entities; to better protect information systems.,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,2/11/2015,Thomas Carper,1,1,https://www.billtrack50.com/BillDetail/586399,billtrack50
TX,,HB926,,Relating to a study and report regarding the use of open-source instructional materials at public institutions of higher education.,Left pending in committee,4/22/2015,Terry Canales,8,1,https://www.billtrack50.com/BillDetail/562592,billtrack50
TX,,SB1845,,Relating to employment of a statewide data coordinator in the Department of Information Resources.,Not again placed on intent calendar,4/27/2015,Judith Zaffirini,14,2,https://www.billtrack50.com/BillDetail/621909,billtrack50
TX,,HB3260,,Relating to a study and report regarding the use of open-source instructional materials at public schools.,Left pending in committee,4/28/2015,Abel Herrero,8,0,https://www.billtrack50.com/BillDetail/618914,billtrack50
US,,S1243,,Grid Modernization Act of 2015,Committee on Energy and Natural Resources. Hearings held.,5/14/2015,Maria Cantwell; Al Franken; Martin Heinrich; Mazie Hirono; Angus King,2,1,https://www.billtrack50.com/BillDetail/642191,billtrack50
TX,,SB915,,Relating to the establishment and administration by the Texas Higher Education Coordinating Board of a textbook affordability pilot program at a public institution of higher education.,Committee report sent to Calendars,5/18/2015,Lois Kolkhorst; John Zerwas,34,4,https://www.billtrack50.com/BillDetail/608273,billtrack50
ME,,LD1207,,Resolve; To Implement an Online Professional Development Platform for Teachers and Educators,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),5/21/2015,Brian Hubbell; Brian Langley,7,0,https://www.billtrack50.com/BillDetail/629981,billtrack50
US,,HR1806,,America COMPETES Reauthorization Act of 2015,Received in the Senate and Read twice and referred to the Committee on Commerce; Science; and Transportation.,5/21/2015,Brian Babin; James Bridenstine; Barbara Comstock; Randy Hultgren; Stephen Knight; Barry Loudermilk; Frank Lucas; John Moolenaar; Steven Palazzo; Lamar Smith; Randy Weber,65,3,https://www.billtrack50.com/BillDetail/636350,billtrack50
TX,,SB1844,,Relating to the establishment and functions of the Interagency Data Transparency Commission.,Effective on 9/1/15,6/16/2015,Armando Walle; Judith Zaffirini,51,5,https://www.billtrack50.com/BillDetail/621533,billtrack50
TX,,HB1549,,Relating to nonsubstantive corrections in statutes to references to the Texas Youth Commission and Texas Juvenile Probation Commission.,Effective on 9/1/15,6/17/2015,Ruth McClendon; Jose Menendez,56,5,https://www.billtrack50.com/BillDetail/592410,billtrack50
FL,,S0016,,Florida Institute for Human and Machine Cognition,ADOPTED,6/18/2015,Greg Evers,4,1,https://www.billtrack50.com/BillDetail/650133,billtrack50
CT,,HB06117,,An Act Concerning The Use Of Digital Open-source Textbooks In Higher Education.,Signed by the Governor,7/2/2015,Mae Flexer; Gregory Haddad,23,4,https://www.billtrack50.com/BillDetail/555469,billtrack50
US,,S1945,,Mental Health Reform Act of 2015,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,8/5/2015,Kelly Ayotte; Richard Blumenthal; John Boozman; Shelley Capito; Bill Cassidy; Susan Collins; Al Franken; Kirsten Gillibrand; Mark Kirk; Amy Klobuchar; Lisa Murkowski; Chris Murphy; Charles Schumer; Debbie Stabenow; Thom Tillis; David Vitter; Elizabeth Warren,1,1,https://www.billtrack50.com/BillDetail/653330,billtrack50
US,,HR3313,,Cyber Defense of Federal Networks Act of 2015,Referred to the Subcommittee on Cybersecurity; Infrastructure Protection; and Security Technologies.,8/11/2015,Michael McCaul; John Ratcliffe,5,1,https://www.billtrack50.com/BillDetail/652952,billtrack50
US,,S2089,,American Energy Innovation Act,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 241.,9/29/2015,Michael Bennet; Richard Blumenthal; Cory Booker; Barbara Boxer; Maria Cantwell; Benjamin Cardin; Thomas Carper; Christopher Coons; Richard Durbin; Dianne Feinstein; Al Franken; Kirsten Gillibrand; Martin Heinrich; Mazie Hirono; Angus King; Amy Klobuchar; Edward Markey; Claire McCaskill; Jeff Merkley; Barbara Mikulski; Chris Murphy; Patty Murray; Gary Peters; Jack Reed; Harry Reid; Brian Schatz; Charles Schumer; Jeanne Shaheen; Debbie Stabenow; Elizabeth Warren; Sheldon Whitehouse; Ron Wyden,2,1,https://www.billtrack50.com/BillDetail/656454,billtrack50
MA,,H127,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts,Bill reported favorably by committee and referred to the committee on House Ways and Means,10/5/2015,James Arciero; Michael Brady; Paul Brodeur; Antonio Cabral; Gailanne Cariddi; Claire Cronin; Mark Cusack; James Eldridge; Sean Garballey; Denise Garlick; Anne Gobi; Kenneth Gordon; Steven Howitt; Louis Kafka; Barbara L'Italien; Timothy Madden; Paul McMurtry; Aaron Michlewitz; James Murphy; Sarah Peake; David Rogers; Tom Sannicandro; Todd Smola,8,1,https://www.billtrack50.com/BillDetail/615791,billtrack50
MA,,S83,,Creating a means for tracking the unmet need of individuals with developmental disabilities in the Commonwealth of Massachusetts,Accompanied H127,10/5/2015,James Arciero; Michael Brady; Claire Cronin; Mark Cusack; Marcos Devers; Sal DiDomenico; James Eldridge; Sean Garballey; Anne Gobi; John Keenan; John Keenan; Kay Khan; Barbara L'Italien; Joan Lovely; James Murphy; David Rogers; Todd Smola,7,1,https://www.billtrack50.com/BillDetail/635129,billtrack50
CA,,AB798,,College Textbook Affordability Act of 2015.,Chaptered by Secretary of State - Chapter 633; Statutes of 2015.,10/8/2015,Susan Bonilla,30,10,https://www.billtrack50.com/BillDetail/603915,billtrack50
IL,,SB1260,,INC TX-EDUCATION,Senate Committee Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments,10/10/2015,John Cullerton; Mattie Hunter; Michael Noland,17,1,https://www.billtrack50.com/BillDetail/591803,billtrack50
